mov_id,fecha,mes,anio,cuenta_id,contraparte_id,categoria_id,instrumento_id,descripcion,monto,moneda,tasa_cambio
20250331-011,2025-03-31,3,2025,,,CAT_003,,Deuda pendiente de mi hacia Camilo,7890,CLP,
20250331-012,2025-03-31,3,2025,,CTR_013,,,Deuda pendiente de mi hacia Camilo,-7890,CLP,
20250411-019,2025-04-11,4,2025,,CTR_013,,,Cobro de salida,6706,CLP,
20250411-020,2025-04-11,4,2025,,,,INS_030,Cobro de salida,-6706,CLP,
20250411-021,2025-04-11,4,2025,,CTR_006,,,Cobro de salida a Rockola,8956,CLP,
20250411-022,2025-04-11,4,2025,,,,INS_030,Cobro de salida a Rockola,-8956,CLP,
20250411-023,2025-04-11,4,2025,,CTR_017,,,Cobro de salida a Rockola,8956,CLP,
20250411-024,2025-04-11,4,2025,,,,INS_030,Cobro de salida a Rockola,-8956,CLP,
20250411-025,2025-04-11,4,2025,,CTR_010,,,Cobro de salida a Rockola,9144,CLP,
20250411-026,2025-04-11,4,2025,,,,INS_030,Cobro de salida a Rockola,-9144,CLP,
20250412-001,2025-04-12,4,2025,CTA_014,,,,Compra de dos bebidas de Abuelita,2000,CLP,
20250412-002,2025-04-12,4,2025,,,,INS_037,Compra de dos bebidas de Abuelita,-2000,CLP,
20250414-003,2025-04-14,4,2025,CTA_004,,,,Pago de salida,8956,CLP,
20250414-004,2025-04-14,4,2025,,CTR_006,,,Pago de salida,-8956,CLP,
20250414-005,2025-04-14,4,2025,CTA_004,,,,Pago de salida,8956,CLP,
20250414-006,2025-04-14,4,2025,,CTR_017,,,Pago de salida,-8956,CLP,
20250414-007,2025-04-14,4,2025,CTA_004,,,,Pago de salida,14677,CLP,
20250414-008,2025-04-14,4,2025,,CTR_008,,,Pago de salida,-14677,CLP,
20250412-003,2025-04-12,4,2025,CTA_014,,,,Dinero para prestamo a Lorena,100000,CLP,
20250412-004,2025-04-12,4,2025,,CTR_025,,,Dinero para prestamo a Lorena,-100000,CLP,
20250412-005,2025-04-12,4,2025,CTA_014,,,,Prestamo de dinero para Feria,-100000,CLP,
20250412-006,2025-04-12,4,2025,,CTR_001,,,Prestamo de dinero para Feria,100000,CLP,
20250414-009,2025-04-14,4,2025,,,CAT_004,,Compra de regalo para cumple de Lorena,22990,CLP,
20250414-010,2025-04-14,4,2025,,,,INS_001,Compra de regalo para cumple de Lorena,-22990,CLP,
20250415-001,2025-04-15,4,2025,CTA_003,,,,Pago CMR Falabella,-20000,CLP,
20250415-002,2025-04-15,4,2025,,,,INS_001,Pago CMR Falabella,20000,CLP,
20250415-003,2025-04-15,4,2025,,,,INS_001,Pago de Youtube Premium,-9200,CLP,
20250415-004,2025-04-15,4,2025,,,,INS_016,Pago de Youtube Premium,9200,CLP,
20250420-001,2025-04-20,4,2025,,CTR_025,,,Cobro de Viaje a Santiago,9158,CLP,
20250420-002,2025-04-20,4,2025,,,,INS_001,Cobro de Viaje a Santiago,-9158,CLP,
20250416-001,2025-04-16,4,2025,CTA_003,,,,Pago de boletas Entel Dagoberto,-19484,CLP,
20250416-002,2025-04-16,4,2025,,CTR_001,,,Pago de boletas Entel Dagoberto,19484,CLP,
